question,answer
결제는 어떻게 하나요?, 롯데렌터카 홈페이지 또는 모바일웹/APP으로 예약하는 경우예약하신 고객님 명의의 신용(체크)카드로 30분 이내 결제까지 완료하셔야 예약이 완료됩니다.※ 법인카드 결제:법인 카드의 경우 고객님 성함이 기명 되어있다면 홈페이지에서 직접 결제 가능합니다.무기명 법인 카드의 경우 홈페이지에서 결제를 진행하실 수 없어 고객센터 또는 지점으로 유선으로 문의하시면 예약 및 결제를 도와드리고 있습니다.
온라인에서는 예약변경이 안되는 건가요?, 예약 및 선결제 완료 고객님께서는 예약 변경 가능합니다. 대여 당일 지점에서 결제하셔야 한다면 고객센터 통해 확인 부탁드립니다. ※ 유의사항 - 차량 및 일정에 따라 예약 변경 어려울 수 있습니다. - 30분 이내 미결제시 예약 취소 될 수 있습니다.
무료이용권 이용방법, [롯데렌터카] 24시간 무료이용권**이용방법**롯데렌터카 홈페이지/앱 예약 후 결제 시 모바일 쿠폰 적용 Step 1 : 롯데렌터카 홈페이지/앱 접속 후 <마이페이지>에서 무료이용권 등록하기 Step 2 : 대여 장소/기간/차종 선택 후 결제단계에서 "할인 적용" ​우측 "변경​" 클릭 Step 3 : 24시간 무료이용권 체크 "할인 적용​" 버튼 클릭**유의사항**본 무료이용권은 1일(24시간) 차량 대여료에 한하여 적용되며 기사포함 렌터카 적용 제외 자차손해면책금(CDW)은 별도 부과되며 임차인 자격요건(만 21세이상/ 운전경력 1년 이상) 필요 비매품으로 타인 양도 불가. 유효기간 만료 시 사용 불가하며 해당 쿠폰은 현금 교환 및 환불 불가 지류 무료이용권은 지점 제출. 문의사항은 롯데렌터카 고객센터로 문의(1588-1230)\n(운영시간 : 평일 08:30~19:00)
롯데렌터카 마일리지는 무엇인가요?, L.point(엘포인트) 적립과는 별개로 롯데렌터카 회원가입 후 단기렌터카 대여 시 결제한 금액  2%를  마일리지로 적립하는 자체 리워드 제도입니다. ※ 유의사항 -  적립 대상 금액 : 차량 대여료 CDW요금 추가 용품 (유모차/ 카시트/ 하이패스등) 배달받기(DS)요금 포함 -  적립 제외 대상 : 편도 반납 금액 반납 후 발생한 추가 결제 금액(주유비/ 휴차료/ 과태료) 등 -  적립 불가 고객 : 월렌트/ 비회원 및 기사포함 렌터카 이용 고객 
무인 키박스란?, 무인 키박스는 24시간 언제든지 비대면 대여와 반납이 가능한 서비스 입니다. ▶ 대여 중 중도 반납 가능!! ※ 서비스 이용 가능 시간은 지점별 상이할 수 있습니다. 자세한 내용은 각 서비스 제공 지점으로 문의하여 주세요.이용 조건 - 고객부담금 완전면제 가입 필수 - 사전체크인 완료 - 선결제 완료 고객
예약 취소는 어떻게 해야하나요?, ① 마이페이지에서 예약 취소를 원하시는 예약건의 [예약 정보 확인하기]를 선택해 주세요. ② PC에서는 상단에 모바일에서는 하단에 있는 예약 취소 버튼을 눌러주세요.③ 취소 사유를 선택하시고 [예약 취소] 버튼을 누르면 예약이 취소됩니다
차량 색상/옵션을 고를 수 있나요?, 안타깝게도 저희 롯데렌터카의 모든 지점은 랜덤으로 차량을 배차해 드리고 있습니다. 차량의 색상 및 옵션은 선택이 가능하지 않습니다.
취소 수수료가 궁금합니다.,단기렌터카 취소 수수료 기준 ① 대여일 기준 24시간 이전 취소: 100% 환불 ② 대여일 기준 24시간 이내 취소: 3000원(취소수수료) 차감 후 환불
단기렌터카 대여 자격을 알고싶어요., ■ 면허증: 도로교통법상 유효한 운전면허증 소지 (단 1종 면허의 경우 적성기간 경과 후 1년이 지나면 운전면허 취소로 대여가 불가) ■ 운전경력: 운전면허 취득 후 1년 이상 경과
반려동물 동승이 가능한가요?, 롯데렌터카 전 차량은 반려 동물 동승 가능합니다. (별도 펫카 미보유)
운전은 몇 명까지 가능한가요?, 임차인을 포함하여 제 2운전자 제 3운전자 등록 시 최대 3명까지 운전 가능합니다.
금연차량으로 대여 가능한가요?, 롯데렌터카의 전 지점/ 전 차량은 100% 금연차량으로 운영되고 있습니다. 다음 이용 고객님의 쾌적한 이용을 위함이니 금연 캠페인에 꼭 동참해 주시기 바랍니다. ※ 흡연 및 실내 청결 문제 발생 시 이용 제한 및 클리닝 비용이 부과될 수 있습니다.
면허증을 분실했어요. 렌터카를 이용할 수 있나요?, 면허증 분실 시 대여 예정일 7일 이내 발급받은 "운전경력증명서"를 지참하시면 대여 가능합니다.
예약 연장은 어떻게 하나요?, 롯데렌터카 APP에서 반납 시간을 연장할 수 있습니다. 연장하려는 시간과 다른 고객의 예약 시간과 중복되는 경우 반납 연장이 어려울 수 있습니다.
카시트 대여가 가능한가요?, 롯데렌터카 내륙 일부 지점과 제주오토하우스 지점에서 선착순으로 예약 가능합니다. ■  지점 > 날짜 > 차종 선택 > 추가용품 > 카시트
픽업존에서도 차량 이용 가능한가요?, 픽업존이란? 롯데렌터카 지점 아닌 장소에서 차량 대여와 반납 할 수 있는 곳입니다. 픽업존에서 차량 이용 가능하며 일부 픽업존 추가 요금 있습니다. 
연두색 번호판 기준이 궁금합니다.,2024.01.01~ 자동차 등록번호판 등의 기준에 관한 고시_법인 업무용승용차 전용 ‘연두색번호판’ 도입되었습니다.
전기차 배터리 제조사가 궁금합니다., 배터리 제조사를 확인할 수 있는 사이트 안내드립니다. ■ 자동차 제작사 배터리 제조사 공개 자료 통합 안내 https://www.kotsa.or.kr/portal/bbs/notice_view.do?bbscCode= notice&bbscSeqn=18186&menuCode=05010100
전기차 하이패스 통행료 감면은 어떻게 받을 수 있나요?, 전용 하이패스 단말기를 등록하고 차량에 장착해야 감면 혜택 받을 수 있습니다.
마이카 혜택 중 주유 혜택은 무엇인가요?, GS칼텍스와 현대오일뱅크 주유소에서 모바일 카드를 제시하면 주유 할인 혜택을 받아보실 수 있습니다. 
